scientificName	class_color	order_color	phylum	class	order
Parasergestes_armatus	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Chionoecetes_bairdi	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Paralithodes_platypus	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Hemigrapsus_sanguineus	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Cardisoma_armatum	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Homarus_americanus	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Astacus_astacus	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Carcinus_maenas	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Stenopus_hispidus	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Thenus_australiensis	"#66C2A5"	"#BF5B17"	Arthropoda	Malacostraca	Decapoda
Proasellus_cavaticus	"#66C2A5"	"#fb9a99"	Arthropoda	Malacostraca	Isopoda
Glyptonotus_antarcticus	"#66C2A5"	"#fb9a99"	Arthropoda	Malacostraca	Isopoda
Armadillidium_vulgare	"#66C2A5"	"#fb9a99"	Arthropoda	Malacostraca	Isopoda
Limnoria_tripunctata	"#66C2A5"	"#fb9a99"	Arthropoda	Malacostraca	Isopoda
Lysiosquillina_maculata	"#66C2A5"	"#ff0000"	Arthropoda	Malacostraca	Stomatopoda
Oratosquilla_oratoria	"#66C2A5"	"#ff0000"	Arthropoda	Malacostraca	Stomatopoda
Neogonodactylus_oerstedii	"#66C2A5"	"#ff0000"	Arthropoda	Malacostraca	Stomatopoda
Nymphon_striatum	"#6A3D9A"	"black"	Arthropoda	Pycnogonida	Pantopoda
Chthamalus_malayensis	"#B15928"	"#3F007D"	Arthropoda	Thecostraca	Balanomorpha
Amphibalanus_improvisus	"#B15928"	"#3F007D"	Arthropoda	Thecostraca	Balanomorpha
Galkinius_sp	"#B15928"	"#3F007D"	Arthropoda	Thecostraca	Balanomorpha
Capitulum_mitella	"#B15928"	"black"	Arthropoda	Thecostraca	Pollicipedomorpha
Neolepas_marisindica	"#B15928"	"black"	Arthropoda	Thecostraca	
Peltogaster_reticulata	"#B15928"	"black"	Arthropoda	Thecostraca	
Parasacculina_yatsui	"#B15928"	"black"	Arthropoda	Thecostraca	
